id,name,surname,adress,birthDate,phoneNumber,sex
74,Vitalii,Tkachenko,Kyiv,2008-02-17 00:00:00,380851940717,m
75,Larysa,Hrytsenko,Strii,2013-12-02 00:00:00,380952369785,f
76,Vitalii,Lysenko,Sambir,2013-11-20 00:00:00,380876309633,m
77,Larysa,Fedorenko,Kyiv,2011-01-11 00:00:00,380189237388,f
78,Roman,Pavlenko,Strii,2013-05-30 00:00:00,380161257661,m
79,Veronika,Kovalko,Sambir,2007-06-07 00:00:00,380485071600,f
80,Vitalii,Sydorenko,Odesa,2015-09-16 00:00:00,380438855725,m
81,Kateryna,Ivanchenko,Strii,2015-06-13 00:00:00,380921644722,f
82,Andrii,Balanenko,Sambir,2015-04-15 00:00:00,380454341700,m
83,Veronika,Melko,Lviv,2009-08-08 00:00:00,380955933411,f
84,Bohdan,Antonenko,Pynyani,2011-01-11 00:00:00,380367153158,m
85,Nataliia,Pavlenko,Sambir,2013-09-27 00:00:00,380974294621,f
86,Pavlo,Nesterenko,Strii,2013-11-08 00:00:00,380469899335,m
87,Veronika,Kovalko,Odesa,2011-12-17 00:00:00,380145865002,f
88,Yevhen,Danylenko,Rivne,2014-08-23 00:00:00,380656888238,m
89,Halyna,Romanchuko,Lviv,2016-12-02 00:00:00,380516885517,f
90,Andrii,Sydorenko,Odesa,2014-09-08 00:00:00,380120406760,m
91,Kateryna,Antonenko,Lviv,2009-06-06 00:00:00,380914493162,f
92,Oleh,Kovalenko,Odesa,2013-02-02 00:00:00,380600098243,m
93,Halyna,Ivanchenko,Kyiv,2010-07-14 00:00:00,380562489689,f
94,Fedir,Danylenko,Frankivsk,2015-02-06 00:00:00,380871334830,m
95,Halyna,Danylenko,Rivne,2008-01-04 00:00:00,380866803106,f
96,Oleh,Romanchuko,Sambir,2014-05-11 00:00:00,380605910082,m
97,Veronika,Ivanchenko,Kyiv,2016-05-17 00:00:00,380136040738,f
98,Andrii,Oleksiyenko,Strii,2011-03-14 00:00:00,380786383758,m
99,Svitlana,Pavlenko,Lviv,2010-06-21 00:00:00,380518669274,f
100,Fedir,Ivanchenko,Odesa,2007-11-24 00:00:00,380401363466,m
101,Larysa,Yevdokymenko,Frankivsk,2014-01-16 00:00:00,380864272850,f
102,Yevhen,Kovalko,Rivne,2013-10-05 00:00:00,380954929371,m
103,Zhanna,Sydorenko,Sambir,2009-05-07 00:00:00,380212825711,f
104,Vitalii,Sydorenko,Kyiv,2010-08-19 00:00:00,380257512788,m
105,Nataliia,Yevdokymenko,Sambir,2011-08-22 00:00:00,380804649039,f
106,Ivan,Vasylchenko,Frankivsk,2010-03-07 00:00:00,380387967163,m
107,Zhanna,Sydorenko,Strii,2014-06-27 00:00:00,380129874869,f
108,Pavlo,Vasylchenko,Kyiv,2010-04-13 00:00:00,380678929002,m
109,Veronika,Nesterenko,Odesa,2009-03-05 00:00:00,380679366782,f
110,Ivan,Romanchuko,Sambir,2015-04-26 00:00:00,380269015749,m
111,Daryna,Pavlenko,Lviv,2009-12-16 00:00:00,380168485686,f
112,Pavlo,Oleksiyenko,Kyiv,2007-11-14 00:00:00,380409508653,m
113,Nataliia,Kovalenko,Sambir,2015-09-06 00:00:00,380946094004,f
114,Bohdan,Kovalenko,Pynyani,2016-03-30 00:00:00,380102804979,m
115,Larysa,Balanenko,Pynyani,2007-06-10 00:00:00,380413942420,f
116,Fedir,Vasylchenko,Sambir,2012-03-25 00:00:00,380058323329,m
117,Zhanna,Lysenko,Rivne,2015-04-21 00:00:00,380749098265,f
118,Oleh,Pavlenko,Strii,2008-05-31 00:00:00,380663214901,m
119,Veronika,Hrytsenko,Pynyani,2013-11-10 00:00:00,380104225610,f
120,Vitalii,Antonenko,Sambir,2014-03-08 00:00:00,380945576194,m
121,Svitlana,Tkachenko,Frankivsk,2012-06-08 00:00:00,380287690318,f
122,Ivan,Danylenko,Odesa,2008-02-08 00:00:00,380430155801,m
123,Zhanna,Romanchuko,Pynyani,2012-05-04 00:00:00,380635264109,f
124,Oleh,Fedorenko,Kyiv,2007-02-01 00:00:00,380263127432,m
125,Nataliia,Oleksiyenko,Frankivsk,2008-01-22 00:00:00,380102779331,f
126,Bohdan,Balanenko,Frankivsk,2015-03-07 00:00:00,380274987768,m
127,Veronika,Lysenko,Rivne,2016-12-24 00:00:00,380065759128,f
128,Bohdan,Bilenko,Lviv,2007-12-11 00:00:00,380971822119,m
129,Mariia,Romanchuko,Pynyani,2011-07-09 00:00:00,380284741048,f
130,Roman,Antonenko,Frankivsk,2016-07-07 00:00:00,380254542752,m
131,Svitlana,Danylenko,Kyiv,2008-11-27 00:00:00,380594004007,f
132,Fedir,Danylenko,Pynyani,2013-09-20 00:00:00,380780245585,m
133,Svitlana,Sydorenko,Frankivsk,2010-05-31 00:00:00,380769849602,f
134,Oleh,Hrytsenko,Pynyani,2009-02-14 00:00:00,380559968411,m
135,Zhanna,Kovalenko,Pynyani,2009-06-17 00:00:00,380780579608,f
136,Fedir,Ivanchenko,Odesa,2008-05-25 00:00:00,380316317512,m
137,Mariia,Usenko,Odesa,2009-01-14 00:00:00,380404384799,f
138,Fedir,Yevdokymenko,Frankivsk,2010-12-20 00:00:00,380997134002,m
139,Nataliia,Romanchuko,Odesa,2010-05-18 00:00:00,380101856078,f
140,Pavlo,Ivanchenko,Rivne,2014-02-12 00:00:00,380370795411,m
141,Daryna,Bilenko,Kyiv,2009-06-14 00:00:00,380195937666,f
142,Fedir,Vasylchenko,Rivne,2008-10-22 00:00:00,380106695708,m
143,Mariia,Sydorenko,Rivne,2014-08-16 00:00:00,380938287080,f
144,Ivan,Usenko,Odesa,2016-03-21 00:00:00,380758455400,m
145,Nataliia,Nesterenko,Sambir,2016-11-13 00:00:00,380308353168,f
146,Fedir,Hrytsenko,Lviv,2016-11-04 00:00:00,380532108960,m
147,Larysa,Kovalko,Rivne,2008-03-24 00:00:00,380530378607,f
148,Bohdan,Nesterenko,Strii,2007-06-07 00:00:00,380635434388,m
149,Nataliia,Lysenko,Strii,2008-10-01 00:00:00,380951116142,f
150,Yevhen,Lysenko,Rivne,2010-02-18 00:00:00,380481588361,m
151,Nataliia,Sydorenko,Kyiv,2010-02-25 00:00:00,380336191597,f
152,Fedir,Ivanchenko,Frankivsk,2016-09-27 00:00:00,380803558801,m
153,Larysa,Kovalenko,Strii,2010-06-20 00:00:00,380890571670,f
154,Fedir,Balanenko,Sambir,2009-01-23 00:00:00,380002662035,m
155,Kateryna,Melko,Strii,2010-09-09 00:00:00,380955977348,f
156,Bohdan,Hrytsenko,Rivne,2014-10-20 00:00:00,380660137223,m
157,Larysa,Kovalenko,Frankivsk,2010-07-20 00:00:00,380585898557,f
158,Roman,Yevdokymenko,Odesa,2013-09-12 00:00:00,380867919405,m
159,Larysa,Kovalko,Odesa,2008-01-12 00:00:00,380206222962,f
160,Pavlo,Danylenko,Frankivsk,2013-11-06 00:00:00,380621739455,m
161,Mariia,Danylenko,Rivne,2014-10-28 00:00:00,380576139476,f
162,Bohdan,Ivanchenko,Pynyani,2013-05-03 00:00:00,380646317342,m
163,Veronika,Balanenko,Lviv,2014-03-11 00:00:00,380400072143,f
164,Andrii,Kovalenko,Lviv,2015-11-16 00:00:00,380465811639,m
165,Zhanna,Usenko,Rivne,2010-05-23 00:00:00,380172217177,f
166,Fedir,Antonenko,Pynyani,2010-02-04 00:00:00,380812656258,m
167,Larysa,Sydorenko,Frankivsk,2015-12-08 00:00:00,380255878183,f
168,Roman,Lysenko,Pynyani,2016-02-02 00:00:00,380929551631,m
169,Svitlana,Lysenko,Sambir,2015-09-13 00:00:00,380235693138,f
170,Roman,Hrytsenko,Kyiv,2014-03-20 00:00:00,380156320738,m
171,Zhanna,Hrytsenko,Rivne,2009-07-19 00:00:00,380166667273,f
172,Andrii,Fedorenko,Kyiv,2015-01-13 00:00:00,380962438995,m
173,Veronika,Lysenko,Pynyani,2015-02-12 00:00:00,380065806095,f
174,Fedir,Romanchuko,Sambir,2016-02-19 00:00:00,380838932346,m
175,Kateryna,Ivanchenko,Sambir,2010-03-23 00:00:00,380803269047,f
176,Bohdan,Oleksiyenko,Rivne,2009-01-27 00:00:00,380908743389,m
177,Halyna,Hrytsenko,Lviv,2013-08-28 00:00:00,380089750225,f
178,Roman,Nesterenko,Frankivsk,2008-10-19 00:00:00,380596875810,m
179,Daryna,Danylenko,Odesa,2007-04-21 00:00:00,380126253591,f
180,Vitalii,Hrytsenko,Lviv,2010-06-17 00:00:00,380736387404,m
181,Halyna,Kovalenko,Odesa,2012-07-02 00:00:00,380335644083,f
182,Andrii,Usenko,Lviv,2014-07-26 00:00:00,380848095040,m
183,Halyna,Balanenko,Frankivsk,2007-06-26 00:00:00,380703123048,f
184,Ivan,Kovalko,Pynyani,2015-09-12 00:00:00,380588815152,m
185,Daryna,Fedorenko,Frankivsk,2010-04-17 00:00:00,380171134916,f
186,Pavlo,Romanchuko,Kyiv,2013-10-18 00:00:00,380102663023,m
187,Halyna,Hrytsenko,Lviv,2013-07-23 00:00:00,380260089029,f
188,Fedir,Nesterenko,Sambir,2012-09-23 00:00:00,380201834615,m
189,Kateryna,Bilenko,Strii,2013-05-21 00:00:00,380745572582,f
190,Pavlo,Antonenko,Kyiv,2014-01-10 00:00:00,380452252748,m
191,Kateryna,Nesterenko,Strii,2014-09-02 00:00:00,380908941887,f
192,Vitalii,Antonenko,Strii,2007-10-05 00:00:00,380053061687,m
193,Larysa,Tkachenko,Rivne,2011-09-24 00:00:00,380155413000,f
194,Andrii,Nesterenko,Frankivsk,2013-11-02 00:00:00,380837485075,m
195,Halyna,Danylenko,Kyiv,2009-08-07 00:00:00,380702477625,f
196,Roman,Nesterenko,Sambir,2008-09-09 00:00:00,380322673524,m
197,Zhanna,Nesterenko,Rivne,2013-01-30 00:00:00,380622143088,f
198,Vitalii,Sydorenko,Kyiv,2013-01-13 00:00:00,380804817358,m
199,Halyna,Ivanchenko,Kyiv,2008-07-05 00:00:00,380086604896,f
200,Andrii,Lysenko,Kyiv,2013-03-04 00:00:00,380579062887,m
201,Svitlana,Pavlenko,Lviv,2008-12-12 00:00:00,380421378419,f
202,Pavlo,Tkachenko,Kyiv,2014-07-30 00:00:00,380966519919,m
203,Mariia,Kovalko,Odesa,2013-10-06 00:00:00,380805037325,f
204,Bohdan,Vasylchenko,Odesa,2016-08-11 00:00:00,380381627550,m
205,Halyna,Bilenko,Rivne,2015-04-27 00:00:00,380108655591,f
206,Vitalii,Antonenko,Odesa,2011-09-02 00:00:00,380193841002,m
207,Mariia,Fedorenko,Strii,2008-07-21 00:00:00,380330324662,f
208,Yevhen,Yevdokymenko,Lviv,2009-12-17 00:00:00,380988451507,m
209,Larysa,Lysenko,Sambir,2016-03-10 00:00:00,380143232773,f
210,Oleh,Melko,Strii,2011-03-15 00:00:00,380984110343,m
211,Veronika,Ivanchenko,Lviv,2009-06-27 00:00:00,380713316097,f
212,Yevhen,Yevdokymenko,Frankivsk,2016-04-11 00:00:00,380504265474,m
213,Larysa,Oleksiyenko,Kyiv,2014-04-28 00:00:00,380352982223,f
214,Roman,Kovalko,Strii,2012-11-03 00:00:00,380977007563,m
215,Veronika,Pavlenko,Sambir,2008-05-19 00:00:00,380168906232,f
216,Ivan,Bilenko,Kyiv,2012-05-02 00:00:00,380059155895,m
217,Halyna,Pavlenko,Lviv,2009-06-06 00:00:00,380157456463,f
218,Pavlo,Bilenko,Kyiv,2012-09-11 00:00:00,380868631535,m
219,Zhanna,Danylenko,Strii,2008-10-22 00:00:00,380631650881,f
220,Fedir,Ivanchenko,Kyiv,2016-05-30 00:00:00,380684839145,m
221,Larysa,Kovalko,Lviv,2009-10-30 00:00:00,380305366834,f
222,Andrii,Lysenko,Strii,2008-07-27 00:00:00,380075248748,m
223,Kateryna,Antonenko,Rivne,2016-04-11 00:00:00,380506478901,f
224,Vitalii,Oleksiyenko,Pynyani,2010-11-20 00:00:00,380334101975,m
225,Svitlana,Hrytsenko,Sambir,2008-03-29 00:00:00,380248409232,f
226,Fedir,Oleksiyenko,Strii,2016-11-12 00:00:00,380366369885,m
227,Mariia,Hrytsenko,Frankivsk,2015-09-12 00:00:00,380573238310,f
228,Fedir,Tkachenko,Sambir,2016-06-21 00:00:00,380126689415,m
229,Daryna,Bilenko,Pynyani,2015-03-13 00:00:00,380237222814,f
230,Andrii,Antonenko,Rivne,2013-10-09 00:00:00,380591467410,m
231,Veronika,Danylenko,Kyiv,2012-11-02 00:00:00,380413107497,f
232,Ivan,Fedorenko,Lviv,2013-08-04 00:00:00,380141572542,m
233,Mariia,Romanchuko,Odesa,2009-11-01 00:00:00,380679958323,f
234,Roman,Kovalenko,Odesa,2015-09-10 00:00:00,380342460849,m
235,Larysa,Oleksiyenko,Odesa,2011-02-10 00:00:00,380912027736,f
236,Pavlo,Bilenko,Kyiv,2015-10-31 00:00:00,380167041930,m
237,Larysa,Balanenko,Rivne,2009-09-07 00:00:00,380561755932,f
238,Andrii,Nesterenko,Pynyani,2009-12-03 00:00:00,380127953632,m
239,Larysa,Pavlenko,Lviv,2010-08-10 00:00:00,380842124853,f
240,Oleh,Danylenko,Strii,2007-12-06 00:00:00,380689533806,m
241,Halyna,Melko,Pynyani,2011-08-26 00:00:00,380919940490,f
242,Andrii,Usenko,Lviv,2008-05-24 00:00:00,380995242978,m
243,Mariia,Lysenko,Sambir,2011-10-19 00:00:00,380807925887,f
244,Pavlo,Antonenko,Frankivsk,2016-06-23 00:00:00,380036678796,m
245,Daryna,Fedorenko,Odesa,2011-05-17 00:00:00,380434777422,f
246,Bohdan,Kovalko,Frankivsk,2013-11-03 00:00:00,380242255023,m
247,Larysa,Lysenko,Pynyani,2016-12-24 00:00:00,380116585656,f
248,Yevhen,Tkachenko,Strii,2009-11-30 00:00:00,380995720491,m
249,Kateryna,Yevdokymenko,Strii,2015-07-25 00:00:00,380200669336,f
250,Bohdan,Nesterenko,Kyiv,2011-08-13 00:00:00,380079877396,m
251,Zhanna,Oleksiyenko,Strii,2009-11-03 00:00:00,380401809889,f
252,Vitalii,Antonenko,Odesa,2014-05-04 00:00:00,380205899883,m
253,Veronika,Oleksiyenko,Rivne,2010-04-02 00:00:00,380667968147,f
254,Pavlo,Danylenko,Strii,2009-03-17 00:00:00,380907280489,m
255,Nataliia,Kovalko,Frankivsk,2007-07-11 00:00:00,380258488042,f
256,Oleh,Kovalenko,Strii,2014-10-02 00:00:00,380737322451,m
257,Kateryna,Usenko,Kyiv,2010-08-26 00:00:00,380783810216,f
258,Oleh,Yevdokymenko,Odesa,2012-08-29 00:00:00,380784081609,m
259,Larysa,Nesterenko,Kyiv,2011-03-24 00:00:00,380728216007,f
260,Roman,Kovalenko,Pynyani,2015-11-16 00:00:00,380779038137,m
261,Veronika,Nesterenko,Lviv,2013-11-22 00:00:00,380182213003,f
262,Vitalii,Hrytsenko,Strii,2007-01-17 00:00:00,380848189008,m
263,Veronika,Lysenko,Lviv,2008-12-20 00:00:00,380449973586,f
264,Bohdan,Pavlenko,Pynyani,2012-03-22 00:00:00,380315736980,m
265,Nataliia,Usenko,Frankivsk,2015-11-27 00:00:00,380974086554,f
266,Andrii,Balanenko,Lviv,2010-10-23 00:00:00,380295112847,m
267,Daryna,Yevdokymenko,Lviv,2009-03-13 00:00:00,380023236209,f
268,Bohdan,Nesterenko,Odesa,2012-09-03 00:00:00,380628771112,m
269,Halyna,Ivanchenko,Odesa,2007-01-27 00:00:00,380570787976,f
270,Oleh,Nesterenko,Lviv,2016-01-06 00:00:00,380208051247,m
271,Daryna,Danylenko,Lviv,2015-12-24 00:00:00,380071400630,f
272,Roman,Kovalenko,Lviv,2009-07-30 00:00:00,380063071061,m
273,Nataliia,Fedorenko,Lviv,2010-02-02 00:00:00,380461412789,f
274,Yevhen,Romanchuko,Sambir,2010-10-19 00:00:00,380397302262,m
275,Mariia,Antonenko,Strii,2008-04-09 00:00:00,380990961785,f
276,Andrii,Danylenko,Frankivsk,2011-06-12 00:00:00,380432600275,m
277,Kateryna,Nesterenko,Strii,2010-05-19 00:00:00,380969580730,f
278,Vitalii,Yevdokymenko,Strii,2015-01-16 00:00:00,380045435781,m
279,Veronika,Balanenko,Sambir,2011-06-14 00:00:00,380645068143,f
280,Andrii,Balanenko,Lviv,2012-12-03 00:00:00,380853764858,m
281,Veronika,Sydorenko,Rivne,2010-05-17 00:00:00,380843086841,f
282,Oleh,Melko,Odesa,2011-07-19 00:00:00,380876228527,m
283,Daryna,Sydorenko,Strii,2016-02-05 00:00:00,380342530593,f
284,Fedir,Yevdokymenko,Pynyani,2014-07-17 00:00:00,380971944976,m
285,Svitlana,Balanenko,Rivne,2007-12-09 00:00:00,380045507968,f
286,Bohdan,Usenko,Kyiv,2013-05-13 00:00:00,380517780541,m
287,Svitlana,Usenko,Rivne,2015-06-21 00:00:00,380600097033,f
288,Bohdan,Usenko,Frankivsk,2009-03-14 00:00:00,380215702940,m
289,Mariia,Antonenko,Strii,2016-12-20 00:00:00,380308245110,f
290,Ivan,Hrytsenko,Strii,2013-08-07 00:00:00,380364796680,m
291,Svitlana,Oleksiyenko,Pynyani,2015-10-08 00:00:00,380205051027,f
292,Yevhen,Tkachenko,Kyiv,2011-05-08 00:00:00,380253324647,m
293,Mariia,Kovalenko,Lviv,2012-05-19 00:00:00,380573678121,f
294,Roman,Yevdokymenko,Strii,2012-11-17 00:00:00,380004414417,m
295,Larysa,Nesterenko,Kyiv,2010-06-01 00:00:00,380926513252,f
296,Pavlo,Ivanchenko,Strii,2008-11-18 00:00:00,380016776851,m
297,Halyna,Kovalenko,Pynyani,2008-04-30 00:00:00,380906649077,f
298,Pavlo,Melko,Odesa,2011-04-05 00:00:00,380292978901,m
299,Mariia,Lysenko,Odesa,2011-11-26 00:00:00,380942886096,f
300,Fedir,Kovalko,Sambir,2007-03-30 00:00:00,380776220670,m
301,Veronika,Oleksiyenko,Lviv,2013-04-14 00:00:00,380489525509,f
302,Oleh,Balanenko,Frankivsk,2007-02-25 00:00:00,380832370009,m
303,Svitlana,Melko,Lviv,2008-09-22 00:00:00,380846950180,f
304,Fedir,Romanchuko,Lviv,2015-11-14 00:00:00,380715222506,m
305,Veronika,Bilenko,Lviv,2011-12-15 00:00:00,380523486725,f
306,Oleh,Fedorenko,Odesa,2009-05-13 00:00:00,380735766420,m
307,Kateryna,Balanenko,Kyiv,2010-03-31 00:00:00,380037171698,f
308,Andrii,Bilenko,Lviv,2010-01-29 00:00:00,380824947828,m
309,Kateryna,Ivanchenko,Sambir,2015-07-21 00:00:00,380827037766,f
310,Pavlo,Pavlenko,Rivne,2013-07-05 00:00:00,380917706608,m
311,Larysa,Tkachenko,Frankivsk,2015-05-16 00:00:00,380124237353,f
312,Vitalii,Nesterenko,Rivne,2016-10-28 00:00:00,380309554791,m
313,Nataliia,Melko,Sambir,2014-01-30 00:00:00,380491537968,f
314,Oleh,Antonenko,Pynyani,2012-03-20 00:00:00,380724564712,m
315,Kateryna,Usenko,Pynyani,2011-08-28 00:00:00,380902118053,f
316,Roman,Usenko,Kyiv,2016-12-16 00:00:00,380083835590,m
317,Larysa,Bilenko,Odesa,2014-11-14 00:00:00,380504347092,f
318,Oleh,Bilenko,Rivne,2007-11-28 00:00:00,380397130797,m
319,Svitlana,Ivanchenko,Kyiv,2009-11-02 00:00:00,380130770192,f
320,Bohdan,Danylenko,Rivne,2015-05-14 00:00:00,380119899913,m
321,Nataliia,Vasylchenko,Odesa,2009-04-10 00:00:00,380871804826,f
322,Pavlo,Nesterenko,Strii,2008-02-15 00:00:00,380977419335,m
323,Larysa,Tkachenko,Kyiv,2013-10-24 00:00:00,380551347448,f
324,Roman,Ivanchenko,Pynyani,2012-04-17 00:00:00,380580765136,m
325,Larysa,Vasylchenko,Kyiv,2010-03-22 00:00:00,380586982380,f
326,Vitalii,Oleksiyenko,Strii,2013-04-20 00:00:00,380703763193,m
327,Mariia,Usenko,Sambir,2008-03-14 00:00:00,380120377578,f
328,Ivan,Lysenko,Kyiv,2013-03-28 00:00:00,380534356672,m
329,Nataliia,Sydorenko,Sambir,2008-07-10 00:00:00,380632285445,f
330,Bohdan,Romanchuko,Sambir,2014-02-21 00:00:00,380548231566,m
331,Veronika,Romanchuko,Odesa,2013-02-28 00:00:00,380450450324,f
332,Pavlo,Pavlenko,Lviv,2016-06-02 00:00:00,380896958018,m
333,Daryna,Yevdokymenko,Strii,2012-01-19 00:00:00,380874395706,f
334,Yevhen,Danylenko,Kyiv,2014-10-31 00:00:00,380812555566,m
335,Daryna,Yevdokymenko,Frankivsk,2009-10-24 00:00:00,380665016295,f
336,Yevhen,Danylenko,Odesa,2014-10-02 00:00:00,380311264040,m
337,Daryna,Kovalko,Sambir,2014-06-05 00:00:00,380787800979,f
338,Andrii,Oleksiyenko,Pynyani,2013-10-04 00:00:00,380256480644,m
339,Mariia,Vasylchenko,Sambir,2016-04-30 00:00:00,380206941049,f
340,Andrii,Kovalko,Odesa,2014-01-19 00:00:00,380737924573,m
341,Mariia,Bilenko,Strii,2012-08-28 00:00:00,380716554632,f
342,Ivan,Hrytsenko,Lviv,2010-11-11 00:00:00,380406828014,m
343,Veronika,Hrytsenko,Frankivsk,2011-12-12 00:00:00,380381976560,f
344,Pavlo,Bilenko,Frankivsk,2015-09-01 00:00:00,380657179970,m
345,Daryna,Ivanchenko,Frankivsk,2010-03-11 00:00:00,380663959491,f
346,Andrii,Antonenko,Rivne,2008-06-24 00:00:00,380489684169,m
347,Veronika,Balanenko,Odesa,2015-12-07 00:00:00,380333553033,f
348,Vitalii,Vasylchenko,Kyiv,2009-11-13 00:00:00,380392294105,m
349,Halyna,Danylenko,Sambir,2010-11-12 00:00:00,380477318019,f
350,Bohdan,Melko,Rivne,2015-05-01 00:00:00,380501876174,m
351,Kateryna,Oleksiyenko,Sambir,2008-08-07 00:00:00,380980110479,f
352,Roman,Sydorenko,Sambir,2009-06-01 00:00:00,380675275220,m
353,Veronika,Ivanchenko,Kyiv,2010-09-29 00:00:00,380911992909,f
